# Emission
# Column format:
# Wavelength (nm)	Emission angle (deg)	C+ (W*m^-2*sr^-1*nm^-1)	
4.740000E2	5.000000E1	1.294607E-5
4.740000E2	5.200000E1	1.242203E-5
4.740000E2	5.400000E1	1.202325E-5
4.740000E2	5.600000E1	1.170438E-5
4.740000E2	5.800000E1	1.143756E-5
4.740000E2	6.000000E1	1.120268E-5
4.740000E2	6.200000E1	1.098299E-5
4.740000E2	6.400000E1	1.076285E-5
4.740000E2	6.600000E1	1.052624E-5
4.740000E2	6.800000E1	1.025554E-5
4.740000E2	7.000000E1	9.930195E-6
4.740000E2	7.200000E1	9.525286E-6
4.740000E2	7.400000E1	9.009890E-6
4.740000E2	7.600000E1	8.345809E-6
4.740000E2	7.800000E1	7.488070E-6
4.740000E2	8.000000E1	6.391030E-6
4.760000E2	0.000000E0	3.063131E-5
4.760000E2	2.000000E0	3.058261E-5
4.760000E2	4.000000E0	3.043698E-5
4.760000E2	6.000000E0	3.019583E-5
4.760000E2	8.000000E0	2.986154E-5
4.760000E2	1.000000E1	2.943739E-5
4.760000E2	1.200000E1	2.892762E-5
4.760000E2	1.400000E1	2.833738E-5
4.760000E2	1.600000E1	2.767268E-5
4.760000E2	1.800000E1	2.694036E-5
4.760000E2	2.000000E1	2.614802E-5
4.760000E2	2.200000E1	2.530396E-5
4.760000E2	2.400000E1	2.441717E-5
4.760000E2	2.600000E1	2.349739E-5
4.760000E2	2.800000E1	2.255550E-5
4.760000E2	3.000000E1	2.160461E-5
4.760000E2	3.200000E1	2.066296E-5
4.760000E2	3.400000E1	1.976215E-5
4.760000E2	3.600000E1	1.897338E-5
4.760000E2	3.800000E1	1.851670E-5
4.760000E2	4.000000E1	1.955874E-5
4.760000E2	4.200000E1	2.931132E-5
4.760000E2	4.400000E1	2.212449E-5
4.760000E2	4.600000E1	1.927461E-5
4.760000E2	4.800000E1	1.772365E-5
4.760000E2	5.000000E1	1.671882E-5
4.760000E2	5.200000E1	1.599678E-5
4.760000E2	5.400000E1	1.544341E-5
4.760000E2	5.600000E1	1.499917E-5
4.760000E2	5.800000E1	1.462723E-5
4.760000E2	6.000000E1	1.430083E-5
4.760000E2	6.200000E1	1.399778E-5
4.760000E2	6.400000E1	1.369746E-5
4.760000E2	6.600000E1	1.337894E-5
4.760000E2	6.800000E1	1.301935E-5
4.760000E2	7.000000E1	1.259228E-5
4.760000E2	7.200000E1	1.206585E-5
4.760000E2	7.400000E1	1.140076E-5
4.760000E2	7.600000E1	1.054871E-5
4.760000E2	7.800000E1	9.453197E-6
4.760000E2	8.000000E1	8.057478E-6
4.780000E2	0.000000E0	4.292958E-5
4.780000E2	2.000000E0	4.286060E-5
4.780000E2	4.000000E0	4.265431E-5
4.780000E2	6.000000E0	4.231271E-5
4.780000E2	8.000000E0	4.183914E-5
4.780000E2	1.000000E1	4.123828E-5
4.780000E2	1.200000E1	4.051610E-5
4.780000E2	1.400000E1	3.967992E-5
4.780000E2	1.600000E1	3.873828E-5
4.780000E2	1.800000E1	3.770093E-5
4.780000E2	2.000000E1	3.657871E-5
4.780000E2	2.200000E1	3.538348E-5
4.780000E2	2.400000E1	3.412808E-5
4.780000E2	2.600000E1	3.282641E-5
4.780000E2	2.800000E1	3.149396E-5
4.780000E2	3.000000E1	3.014929E-5
4.780000E2	3.200000E1	2.881801E-5
4.780000E2	3.400000E1	2.754405E-5
4.780000E2	3.600000E1	2.642605E-5
4.780000E2	3.800000E1	2.576841E-5
4.780000E2	4.000000E1	2.718674E-5
4.780000E2	4.200000E1	4.133105E-5
4.780000E2	4.400000E1	3.124386E-5
4.780000E2	4.600000E1	2.716981E-5
4.780000E2	4.800000E1	2.492070E-5
4.780000E2	5.000000E1	2.344717E-5
4.780000E2	5.200000E1	2.238006E-5
4.780000E2	5.400000E1	2.155813E-5
4.780000E2	5.600000E1	2.089659E-5
4.780000E2	5.800000E1	2.034256E-5
4.780000E2	6.000000E1	1.985758E-5
4.780000E2	6.200000E1	1.940978E-5
4.780000E2	6.400000E1	1.896970E-5
4.780000E2	6.600000E1	1.850768E-5
4.780000E2	6.800000E1	1.799156E-5
4.780000E2	7.000000E1	1.738437E-5
4.780000E2	7.200000E1	1.664180E-5
4.780000E2	7.400000E1	1.570949E-5
4.780000E2	7.600000E1	1.452094E-5
4.780000E2	7.800000E1	1.299883E-5
4.780000E2	8.000000E1	1.106623E-5
4.800000E2	0.000000E0	5.673116E-5
4.800000E2	2.000000E0	5.663918E-5
4.800000E2	4.000000E0	5.636412E-5
4.800000E2	6.000000E0	5.590865E-5
4.800000E2	8.000000E0	5.527719E-5
4.800000E2	1.000000E1	5.447597E-5
4.800000E2	1.200000E1	5.351299E-5
